	domain	number
	3rdpartymedia.ubuntuone.com	21
	accounts.google.com	3
	accounts.youtube.com	3
	apis.google.com	3
	bugreport.sun.com	6
	clients1.google.com	6
	connect.facebook.net	18
	daisy.ubuntu.com	12
	daisy.ubuntu.com.local.lan	12
	docs.oracle.com	12
	download.oracle.com	12
	fb.com	9
	feeds.feedburner.com	3
	fonts.googleapis.com	3
	gtglobal-ocsp.geotrust.com	18
	hadoop.apache.org	48
	help.ubuntu.com	6
	local	6
	mail.google.com	207
	ntp.ubuntu.com	12
	ntp.ubuntu.com.local.lan	12
	ocsp.verisign.com	3
	openclipart.org	18
	plus.google.com	3
	productsearch.ubuntu.com	63
	s-static.ak.facebook.com	18
	safebrowsing-cache.google.com	3
	safebrowsing.clients.google.com	3
	sgsitsroboticsclub.in	48
	shop.ubuntu.com	6
	ssl.gstatic.com	12
	stackoverflow.com	168
	start.ubuntu.com	6
	static.ak.facebook.com	3
	static.ak.fbcdn.net	3
	themes.googleusercontent.com	3
	torrentz.in	12
	twitter.com	3
	www.caveofprogramming.com	3
	www.facebook.com	45
	www.google-analytics.com	3
	www.google.com	6
	www.googleapis.com	9
	www.gstatic.com	9
	www.sgsitsroboticsclub.in	24
	www.ubuntu.com	6
	www.udemy.com	3
	www.youtube.com	3
